"TL","meanTL","Omnv","Basal","Int","Top","Links","Gen","Vul","Taxa","TLAgg","meanTLAgg","OmnvAgg","BasalAgg","IntAgg","TopAgg","LinksAgg","GenAgg","VulAgg","SAgg"
3.4,1.8088,0.16,0.4,0.6,0,135,0.829896892577083,0.855333732132779,25,3,1.57142857142857,0,0.285714285714286,0.714285714285714,0,8,0.60380736442456,0.935414346693485,7
4.3027950310559,2.2139564642282,0.183333333333333,0.116666666666667,0.75,0.133333333333333,185,1.59701905024673,1.18269580209376,60,4.2962962962963,2.08840983840984,0.216216216216216,0.243243243243243,0.648648648648649,0.108108108108108,94,1.12712697623752,1.40271873090663,37
3.33333333333333,1.85799366838148,0.175,0.35,0.65,0,334,0.956758641326487,0.873155003109898,40,2.75555555555556,1.51805555555556,0.1875,0.375,0.625,0,36,0.769800358919501,1.17588947158426,16
4.95002412241493,3.62798914884948,0.9,0.1,0.9,0,229,0.76270425420966,0.547742545844952,30,5.15726784728022,3.6318398420459,0.896551724137931,0.103448275862069,0.896551724137931,0,208,0.752726886204786,0.556532103615042,29
3.94940476190476,2.34085352891156,0.5,0.0714285714285714,0.821428571428571,0.107142857142857,127,0.951570571063358,0.595478616965916,28,3.9864417989418,2.33067625661376,0.52,0.08,0.8,0.12,106,0.953853208826996,0.594632801803481,25
5.16577280743947,3.55032976336315,0.678571428571429,0.0714285714285714,0.857142857142857,0.0714285714285714,218,0.852233097724007,0.564052335740895,28,4.56739927607115,3.06889953429316,0.692307692307692,0.0769230769230769,0.846153846153846,0.0769230769230769,178,0.883863390530208,0.609564800744994,26
3.13888888888889,1.71445639187575,0.225806451612903,0.32258064516129,0.612903225806452,0.0645161290322581,43,0.996822064116945,1.28529843529991,31,3.13888888888889,1.66543209876543,0.222222222222222,0.407407407407407,0.555555555555556,0.037037037037037,35,0.903056035958806,1.35003924589736,27
5.18310015430745,3.84750013302367,0.620689655172414,0.0689655172413793,0.931034482758621,0,203,0.727430078392719,0.878973692545226,29,5.19601577186474,3.81970565311632,0.692307692307692,0.0769230769230769,0.923076923076923,0,165,0.764126826621428,0.820535335567336,26
3.30140905647721,1.74475317695317,0.257575757575758,0.409090909090909,0.560606060606061,0.0303030303030303,943,1.00008304848198,0.950632962619022,66,4.07595612341821,2.68187762355609,0.666666666666667,0.166666666666667,0.75,0.0833333333333333,98,0.930210533014698,0.854222430059443,24
3,1.60952380952381,0.051948051948052,0.454545454545455,0.467532467532468,0.0779220779220779,240,1.88588737218201,1.29067254471847,77,3,1.58985635576545,0.0606060606060606,0.484848484848485,0.424242424242424,0.0909090909090909,205,1.72696727276323,1.26043140226622,66
3.0561259754738,1.47268994688176,0.0823529411764706,0.576470588235294,0.411764705882353,0.0117647058823529,373,1.32134817938926,1.55079988074188,85,3.02201597029972,1.44300399257493,0.075,0.6,0.3875,0.0125,346,1.24091928471394,1.60053374822726,80
4.28041741869954,2.38082127690079,0.58974358974359,0.102564102564103,0.846153846153846,0.0512820512820513,248,0.93418171989599,0.945950535885797,39,4.28683113793652,2.43228094543916,0.67741935483871,0.129032258064516,0.806451612903226,0.0645161290322581,179,0.858628503792376,0.825382521636661,31
3.19284099334437,1.58627576082647,0.133333333333333,0.52,0.48,0,553,0.555522682585915,1.66698759804519,75,3.34343434343434,1.89002907866544,0.318181818181818,0.363636363636364,0.636363636363636,0,78,0.700288642426732,1.07570138273862,22
3.5,1.5282928064843,0.106382978723404,0.563829787234043,0.382978723404255,0.0531914893617021,565,1.28048323975646,1.48195963139169,94,3.5,1.5208645443196,0.101123595505618,0.561797752808989,0.382022471910112,0.0561797752808989,546,1.24726879204445,1.46645472749661,89
3.44494075743059,1.96295607817068,0.32,0.32,0.68,0,178,0.652901084223003,0.895945596547242,25,4.2977651872836,2.66121439424346,0.571428571428571,0.214285714285714,0.785714285714286,0,63,0.498811502954355,0.879220927694573,14
4.633063716837,3.25823447503178,0.772727272727273,0.0909090909090909,0.795454545454545,0.113636363636364,413,0.844277091369576,0.749193719593651,44,4.90403683429394,3.45579004440427,0.785714285714286,0.0952380952380952,0.785714285714286,0.119047619047619,367,0.875239011720217,0.740828913804477,42
2.98644887720975,1.5237974567072,0.0740740740740741,0.518518518518518,0.453703703703704,0.0277777777777778,708,1.33950127020745,1.43315091859394,108,2.9780193236715,1.48408074664868,0.0833333333333333,0.5625,0.40625,0.03125,638,1.20790821907172,1.4125449628612,96
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3.88888888888889,2.55402169846614,0.606060606060606,0.151515151515152,0.515151515151515,0.333333333333333,72,1.19877686506798,0.746592374466222,33,3.98148148148148,2.56964573268921,0.521739130434783,0.217391304347826,0.434782608695652,0.347826086956522,33,1.16674716190413,0.722666773865327,23
5.63087279658402,4.11275904820846,0.833333333333333,0.1,0.9,0,290,0.599109593937189,0.705466782954715,30,5.31532293873932,4.00528298078121,0.84,0.12,0.88,0,216,0.524974959665866,0.696755414041315,25
4.95813332431568,3.03160596689489,0.76,0.06,0.94,0,556,0.605478638793647,0.895720452624753,50,4.95514929992868,3.04196828102093,0.75,0.0625,0.9375,0,518,0.59960590418125,0.881984854335971,48
3.16666666666667,1.91666666666667,0.461538461538462,0.307692307692308,0.615384615384615,0.0769230769230769,34,0.86260582654848,0.917361066545184,13,3.125,1.84318181818182,0.363636363636364,0.363636363636364,0.545454545454545,0.0909090909090909,23,0.813171345443898,1.01351920160532,11
